# 
# HITRAN 2016, shortwave, created with HELIOS-K by Eric T. Wolf
# Interval    (1 = 42087-36363 cm-1 (0.2376-0.2750 micron), 2 = 36363-35087 cm-1,.....,38 = 2397-2200 cm-1 (4.1720-4.5455 micron))
# Temperature (100,150,200,250,300,350,400,600)
# P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!-------------------------------------------------------------------------------------------------------------------------- 
 
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          1
          300.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          1
          350.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          1
          400.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          1
          600.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          2
          100.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          2
          150.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          2
          200.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          2
          250.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          2
          300.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          2
          350.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          2
          400.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          2
          600.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          3
          100.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          3
          150.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          3
          200.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          3
          250.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          3
          300.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          3
          350.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          3
          400.0
  0.00001   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00010   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.00100   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.01000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  0.10000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
  1.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 10.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
100.00000   9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45 9.80909E-45
 
          3
          600.0
